volume,plate,leaf,ia_id,gould_latin,gould_english,birdnet_sci,birdnet_common,confidence,why,crosswalk_reason,ku_sci,ku_check,species_pinned_elsewhere
IV,18,84,birdsAustraliav4Goul,Corvus Coronoides,White-eyed Crow,Corvus coronoides,Australian Raven,medium,crosswalk medium,Gould's coronoides spanned all Australian corvids; the name and likely figure are the Australian Raven,Corvus coronoides,,
IV,80,332,birdsAustraliav4Goul,Myzantha melanophrys,Australian Bell-Bird,Manorina melanophrys,Bell Miner,high,caption no,Bell Miner,Manorina melanophrys,,
V,10,48,birdsAustraliav5Goul,Calyptorhynchus Leachii,Leach’s Cockatoo,Calyptorhynchus lathami,Glossy Black-Cockatoo,medium,crosswalk medium,leachii Kuhl as Gould used it = Glossy Black-Cockatoo; Kuhl's name has also been read as Red-tailed,Calyptorhynchus lathami,,
V,28,120,birdsAustraliav5Goul,Platycercus splendidus,Splendid Parrakeet,Platycercus eximius,Eastern Rosella,medium,crosswalk medium,splendidus Gould = golden-mantled Eastern Rosella (elecica),Platycercus eximius,,yes
V,79,324,birdsAustraliav5Goul,Megapodius Tumulus,Mound-raising Megapode,Megapodius reinwardt,Orange-footed Scrubfowl,high,caption unread,tumulus = Orange-footed Scrubfowl,Megapodius reinwardt,,
V,84,344,birdsAustraliav5Goul,Hemipodius melanotus,Black-backed Hemipode,Turnix maculosus,Red-backed Buttonquail,medium,crosswalk medium,Hemipodius melanotus Gould = E Australian race of Red-backed Buttonquail (T. m. melanotus),Turnix maculosus melanotus,,
V,91,372,birdsAustraliav5Goul,Synoicus sordidus,Sombre Partridge,Synoicus ypsilophorus,Brown Quail,medium,crosswalk medium,sordidus Gould = S Australian Brown Quail form,Coturnix ypsilophora,,yes
VI,2,16,birdsAustraliav6Goul,Apteryx australis,Kiwi-kiwi,Apteryx mantelli,North Island Brown Kiwi,low,crosswalk low; KU doubtful: Apteryx australis,Gould's Apteryx australis drawn from New Zealand Company skins; Southern Brown Kiwi (not in BirdNET) unless the skins were North Island (A. mantelli),Apteryx australis,"KU (A. australis, Southern Brown Kiwi) follows the name, which BirdNET lacks; Gould drew New Zealand Company skins without locality, so North Island (A. mantelli) is not shown. Recommend none",
VI,9,44,birdsAustraliav6Goul,Lobivanellus lobatus,Wattled Pewit,Vanellus miles,Masked Lapwing,high,caption unread,lobatus = Masked Lapwing (novaehollandiae form),Lobivanellus lobatus,KU gives only Gould's name; Lobivanellus lobatus = Masked Lapwing V. miles novaehollandiae,yes
VI,19,84,birdsAustraliav6Goul,Hiaticula inornata,Allied Dottrel,Charadrius mongolus,Lesser Sand-Plover,low,crosswalk low; KU doubtful: Hiaticula inornata,"inornata Gould (Port Essington, Torres Strait; 'allied to Wilson's Plover', sexes of very different size) = a sand-plover, Lesser or Greater unresolved",Hiaticula inornata,"KU gives only Gould's name. Gould: Port Essington/Torres Strait sand-plover, winter and breeding plumage, sexes differing in size by a third, so his series may mix Lesser and Greater. The plate's short bills suggest Lesser, but that is not certain",
VI,53,220,birdsAustraliav6Goul,Ardea Novae-Hollandiae,White-fronted Heron,Egretta novaehollandiae,White-faced Heron,high,caption unread,White-faced Heron,Egretta novaehollandiae,,
VI,55,228,birdsAustraliav6Goul,Ardea leucophaea,Great Grey Heron,Ardea cinerea,Gray Heron,medium,crosswalk medium,leucophaea Gould: a Grey Heron (Gould compares it to the Common Heron and cites Indian birds); an Australian vagrant at most,Ardea cinerea,,
VI,59,244,birdsAustraliav6Goul,Herodias pannosus,Sombre Egret,Egretta sacra,Pacific Reef-Heron,medium,crosswalk medium; caption unread,pannosus Gould: slaty-black egret with white chin from Port Stephens = dark Pacific Reef-Heron,Egretta sacra,,yes
VI,60,248,birdsAustraliav6Goul,Herodias jugularis,Blue Reef Heron,Egretta sacra,Pacific Reef-Heron,high,caption unread,jugularis = dark morph Pacific Reef-Heron,Egretta sacra,,yes
VII,2,16,birdsAustraliav7Goul,Anseranas melanoleuca,Semipalmated Goose,Anseranas semipalmata,Magpie Goose,high,caption unread,melanoleuca = Magpie Goose,Anseranas semipalmata,,
VII,8,40,birdsAustraliav7Goul,Tadorna radjah,Radjah Shieldrake,Radjah radjah,Radjah Shelduck,high,caption unread,Radjah Shelduck,Tadorna radjah,,
VII,14,64,birdsAustraliav7Goul,Dendrocygna arcuata,Whistling Duck,Dendrocygna arcuata,Wandering Whistling-Duck,high,caption unread,Wandering Whistling-Duck,Dendrocygna arcuata,,
VII,18,80,birdsAustraliav7Goul,Biziura lobata,Musk Duck,Biziura lobata,Musk Duck,high,caption unread,Musk Duck,Biziura lobata,,
VII,21,92,birdsAustraliav7Goul,Lestris catarractes,Skua Gull,Stercorarius antarcticus,Brown Skua,low,crosswalk low; KU doubtful: Stercorarius skua,Gould's 'Lestris catarractes' is the Great Skua by name and synonymy but described from Southern Ocean ship-followers (Brown Skua); figure's source unknown,Stercorarius skua,"KU follows the name (Great Skua); Gould's text is about Southern Ocean and Tasmanian birds (Brown Skua) and the plate is uniformly dark without Great Skua's pale streaking, but he calls them one species and names no specimen",
VII,43,180,birdsAustraliav7Goul,Diomedea melanophrys,Black-eyebrowed Albatros,Thalassarche melanophris,Black-browed Albatross,high,caption unread,Black-browed Albatross,Thalassarche melanophris,,
VII,51,212,birdsAustraliav7Goul,Procellaria Cookii,Cook's Petrel,Pterodroma cookii,Cook's Petrel,medium,crosswalk medium,Gould's Procellaria cookii = Cook's Petrel; small Cookilaria petrels were confused then,Pterodroma cookii,,
VII,74,304,birdsAustraliav7Goul,Pelecanus conspicillatus,Australian Pelican,Pelecanus conspicillatus,Australian Pelican,high,caption unread,Australian Pelican,Pelecanus conspicillatus,,
VII,75,308,birdsAustraliav7Goul,Plotus Novae-Hollandiae,New Holland Darter,Anhinga novaehollandiae,Australasian Darter,high,caption unread,Plotus novaehollandiae = Australasian Darter,Anhinga melanogaster,Split: Australasian Darter A. novaehollandiae split from Oriental Darter A. melanogaster,
VII,83,340,birdsAustraliav7Goul,Eudyptes chrysocome,Crested Penguin,Eudyptes chrysocome,Southern Rockhopper Penguin,medium,crosswalk medium,Crested Penguin by name = Southern Rockhopper; crested penguins reaching Australia include other Eudyptes,Eudyptes chrysocome,,
Supp,13,64,birdsAustraliasSuppGoul,Monarcha albiventris,White-bellied Flycatcher,Symposiachrus trivirgatus,Spectacled Monarch,medium,crosswalk medium,Monarcha albiventris Gould = Cape York race of Spectacled Monarch,Monarcha trivirgatus,,yes
Supp,22,100,birdsAustraliasSuppGoul,Malurus hypoleucus,Fawn-breasted Superb Warbler,Malurus amabilis,Lovely Fairywren,medium,crosswalk medium,"hypoleucus Gould (Cape York; blue above, white lores and eye-ring, cream below) matches Lovely Fairywren in female-type plumage",Malurus amabilis,,yes
Supp,44,186,birdsAustraliasSuppGoul,Tropidorhynchus buceroides,Helmeted Friar-bird,Philemon buceroides,Helmeted Friarbird,medium,crosswalk medium,"Helmeted Friarbird; Gould's bird is probably the Cape York form (yorki), which BirdNET's buceroides includes",Philemon buceroides,,
Supp,63,264,birdsAustraliasSuppGoul,Platycercus cyanogenys,Blue-cheeked Parrakeet,Platycercus adscitus,Pale-headed Rosella,medium,crosswalk medium,cyanogenys Gould (Cape York) = blue-cheeked nominate Pale-headed Rosella,Platycercus elegans,"Plate: pale yellow head with blue cheeks, yellowish body = Pale-headed Rosella nominate adscitus (Cape York); not Crimson Rosella",yes
