volume,leaf,pencil,caption_english,caption_latin,orientation,note
III,242,207,Rosy Grosbeak,Erythrospiza rosea,portrait,"pencil extremely faint, could not read the digits directly; inferred from the unbroken 204-205-206-...-208 sequence on either side"
III,246,208,Vinous Grossbeak,Erythrospiza? githaginea  Pyrrhula githaginea (Temm.),portrait,"two Latin name lines (alternate genus placements), single bird; confirms 207 for leaf 242"
III,250,209,Bullfinch,Pyrrhula vulgaris (Temm.),portrait,"pencil written in the unusual looped cursive style, fits sequence"
III,254,210,Starling,Sturnus vulgaris (Linn.),portrait,matches given ground truth (leaf 254 = plate 210)
III,258,211,Sardinian Starling,Sturnus unicolor (Marm.),portrait,
III,262,212,Rose Coloured Pastor,Pastor roseus (Temm.),portrait,
III,266,213,Nutcracker,Nucifraga caryocatactes (Briss.),portrait,
III,270,214,Jay,Garrulus Glandarius (Briss.),portrait,
III,274,215,Siberian Jay,Garrulus infaustus (Temm.),portrait,
III,278,216,Magpie,Pica caudata (Ray),portrait,
III,282,217,Azure Winged Magpie,Pica cyanea (Wagler),portrait,
III,286,218,Alpine Chough,Pyrrhocorax Pyrrhocorax,portrait,no authority given after the Latin name
III,290,219,Chough,Fregilus graculus (Cuv.),portrait,
III,294,220,Raven,Corvus corax (Linn.),portrait,
III,298,221,Carrion Crow,Corvus corone (Linn.),portrait,pencil written in the looped cursive style
III,302,222,Hooded Crow,Corvus cornix (Linn.),portrait,pencil written in the looped cursive style
III,306,223,Jackdaw,Corvus monedula (Linn.),portrait,pencil written vertically in the looped cursive style
III,310,224,Rook,Corvus frugilegus (Linn.),portrait,pencil written in the looped cursive style
III,314,225,Great Black Woodpecker,Picus martius (Linn.),portrait,
III,318,226,Green Woodpecker,Picus viridis (Linn.),portrait,
III,322,227,Grey Headed Green Woodpecker,Picus canus (Gmelin),portrait,
III,326,228,White-rumped Woodpecker,Picus leuconotus (Temm.),portrait,
III,330,229,Great Spotted Woodpecker,Picus major (Linn.),portrait,pencil written in the looped cursive style
III,334,230,Middle Spotted Woodpecker,Picus medius (Linn.),portrait,pencil written in the looped cursive style
III,338,231,Lesser Spotted Woodpecker,Picus minor (Linn.),portrait,
III,342,232,Three Toed Woodpecker,Picus tridactylus (Linn.),portrait,
III,346,233,Wry Neck,Yunx torquilla (Linn.),portrait,
III,350,234,Common Nuthatch,Sitta Europea (Linn.),portrait,
III,354,235,Dalmatian Nuthatch,Sitta rufescens (Temm.?),portrait,pencil written in the looped cursive style; question mark after authority is engraved on the plate
III,358,236,Asiatic Nuthatch,Sitta Asiatica (Temm.),portrait,
III,362,237,Common Creeper,Certhia familiaris (Linn.),portrait,
III,366,238,Hoopoe,Upupa epops (Linn.),portrait,
III,370,239,Wall Creeper,Tichodroma phoenicoptera (Temm.),portrait,
III,374,240,Common Cuckoo,Cuculus canorus (Linn.),portrait,
III,378,241,Great Spotted Cuckoo,Cuculus glandarius (Linn.),portrait,
III,382,242,American Cuckoo,Coccyzus Americanus (Bonap.),portrait,
IV,14,243,Wood Pigeon,Columba palumbus (Linn.),portrait,
IV,18,244,Stock Dove,Columba oenas (Linn.),portrait,
IV,22,245,Rock Dove,Columba livia (Linn.),portrait,
IV,26,246,Turtle Dove,Columba Turtur (Linn.),portrait,
IV,30,247,Common Pheasant,Phasianus Colchicus (Linn.),landscape,
IV,34,248,Capercailzie or Cock of the Wood,,landscape,Composite plate (male and female); no Latin binomial printed on plate
IV,38,249,Hybrid Grouse,Tetrao hybridus (Sparrm.),landscape,pencil number faint
IV,42,250,Black Grouse,Tetrao Tetrix (Linn.),landscape,pencil number partly cropped/faint
IV,46,251,Hazel Grous or Gelinotte,Bonasa Europea,landscape,
IV,50,252,Red Grouse,Lagopus Scoticus (Leach.),landscape,
IV,54,253,Common Ptarmigan,Lagopus mutus (Leach.),landscape,
IV,58,254,Rock Ptarmigan,Lagopus rupestris (Leach.),landscape,
IV,62,255,Willow Ptarmigan,Lagopus Salicetii (Swains.),landscape,
IV,66,256,Short-toed Ptarmigan,Lagopus brachydactylus; Tetrao ... (Temm.),landscape,"Second line is a synonym citation with a dashed/illegible specific epithet after ""Tetrao"""
IV,70,257,Sand Grouse,Pterocles arenarius (Temm.),landscape,
IV,74,258,Pin-tailed Sand Grouse,Pterocles Alchata (Temm.),landscape,
IV,78,259,European Francolin,Francolinus Vulgaris (Briss.),landscape,
IV,82,260,Red-legged Partridge,Perdix rubra (Briss.),landscape,
IV,86,261,Barbary Partridge / Greek Partridge,Perdix petrosa / Perdix saxatilis,landscape,Composite plate showing two species side by side
IV,90,262,Common Partridge,Perdix cinerea (Lath.),landscape,
IV,94,263,Quail,Coturnix dactylisonans (Meyer),landscape,
IV,98,264,Andalusian Turnix,Hemipodius tachydromus (Temm.),landscape,
IV,102,265,Collared Pratincole,Glareola torquata (Meyer),landscape,
IV,106,266,Cream Coloured Courser,Cursorius Isabellinus (Meyer),landscape,
IV,110,267,Great Bustard,Otis tarda (Linn.),landscape,
IV,114,268,Ruffed Bustard,Otis houbara (Linn.),landscape,
IV,118,269,Little Bustard,Otis tetrax (Linn.),landscape,
IV,122,270,Common Crane,Grus cinerea (Bechst.),portrait,
IV,126,271,White Crane,Grus leucogeranus (Temm.),portrait,
IV,130,272,Numidian Demoiselle,Anthropoides Virgo (Vieill.),portrait,
IV,134,273,Common Heron,Ardea cinerea (Lath.),portrait,
IV,138,274,Purple Heron,Ardea purpurea (Linn.),portrait,
IV,142,275,Squacco Heron,Ardea comata (Pallas),portrait,
IV,146,276,Great Egret,Ardea alba (Linn.),landscape,
IV,150,277,Little Egret,Ardea garzetta (Linn.),landscape,
IV,154,278,Rufous Backed Egret,Ardea rufisata (Temm.),landscape,"Pencil number not visible in any crop; inferred from sequence (277 before, 279 after)"
IV,158,279,Common Night Heron,Nycticorax Europaeus (Stephens),landscape,
IV,162,280,Common Bittern,Botaurus stellaris (Stephens),landscape,
IV,166,281,Freckled Bittern,Botaurus lentiginosus (Stephens),landscape,
IV,170,,Little Bittern,Botaurus minutus (Selby),landscape,"Pencil mark present but illegible as a number (looks like a cursive flourish, not digits); expected ~282 by sequence but not confirmed"
IV,174,283,White Stork,Ciconia alba (Bellon.),portrait,
IV,178,284,Black Stork,Ciconia nigra (Bellon.),portrait,
IV,182,285,Maguari Stork,Ciconia Maguari (Temm.),portrait,
IV,186,286,Spoonbill,Platalea Leucorodia (Linn.),portrait,
IV,190,287,Flamingo,Phoenicopterus ruber (Linn.),portrait,
IV,194,288,Thick-kneed Bustard,Oedicnemus crepitans (Temm.),landscape,
IV,198,289,Long Legged Plover,Himantopus melanopterus (Meyer),portrait,
IV,202,290,Bastard or Grey Plover,Squatarola cinerea (Gm.),landscape,
IV,206,291,Lapwing,Vanellus cristatus (Meyer),landscape,
IV,210,292,Keptuschka Lapwing,Vanellus Keptuschka (Temm.),landscape,
IV,214,293,Spur-winged Plover,Pluvianus spinosus,landscape,
IV,218,294,Golden Plover,Charadrius pluvialis (Linn.),landscape,
IV,222,295,Dottrell,Charadrius Morinellus (Linn.),landscape,
IV,226,296,Ring Dottrel,Charadrius hiaticula (Linn.),landscape,
IV,230,297,Little Ring-Dottrel,Charadrius minor (Meyer),landscape,
IV,234,298,Kentish Plover,Charadrius cantianus (Lath.),landscape,
IV,238,299,Red-chested Dottrel,Charadrius pyrrhothorax (Temm.),landscape,
IV,242,300,Oyster Catcher,Haematopus Ostralegus (Linn.),landscape,
IV,246,301,Glossy Ibis,Ibis Falcinellus (Temm.),landscape,Latin binomial line is cropped by the scan gutter/page edge; partial letters consistent with Ibis Falcinellus (Temm.) but not fully confirmed
IV,250,302,Common Curlew,Numenius arquata (Lath.),landscape,
IV,254,303,Whimbrel,Numenius Phaeopus (Lath.),landscape,
IV,258,304,Slender-billed Curlew,Numenius tenuirostris (Sav.),landscape,
IV,262,305,Black-tailed Godwit,Limosa melanura (Leisler),landscape,
IV,266,306,Bar-tailed Godwit,Limosa rufa (Briss.),landscape,
IV,270,307,Terek Godwit,Limosa Terek (Temm.),landscape,
IV,274,308,Avocet,Recurvirostra avocetta (Linn.),landscape,
IV,278,309,Spotted Redshank,Totanus fuscus (Leisl.),landscape,
IV,282,310,Redshank,Totanus calidris (Bechst.),landscape,
IV,286,311,Semipalmated Sandpiper,Totanus semipalmatus (Temm.),landscape,
IV,290,312,Green Shank,Totanus glottis (Bechst.),landscape,
IV,294,313,Bartram's Sandpiper,Totanus Bartramia (Temm.),landscape,
IV,298,314,Marsh Sandpiper,Totanus stagnatilis (Bechst.),landscape,
IV,302,315,Wood Sandpiper / Green Sandpiper,Totanus Glareola (Temm.) / Totanus ochropus (Temm.),landscape,Composite plate showing two species side by side
IV,306,316,Common Sandpiper,Totanus Hypoleucos (Temm.),landscape,
IV,310,317,Spotted Sandpiper,Totanus macularius (Temm.),landscape,
IV,314,318,Turnstone,Strepsilas collaris (Temm.),landscape,
IV,318,319,Woodcock,Scolopax rusticola (Linn.),landscape,
IV,322,320,Great Snipe,Scolopax major (Gmel.),landscape,
IV,326,321,Sabine's Snipe / Common Snipe,Scolopax Sabini (Vigors) / Scolopax Gallinago (Linn.),landscape,"Composite plate showing two species side by side, numbered 1 and 2"
IV,330,322,Jack Snipe,Scolopax Gallinula (Linn.),landscape,
IV,334,323,Grey Snipe,Macrorhamphus Griseus (Leach.),landscape,
IV,338,324,Knot,Calidris canutus,landscape,No author cited in caption
IV,342,325,Ruff,Machetes pugnax (Cuvier),landscape,
IV,346,326,Buff-breasted Tringa,Tringa rufescens (Vieill.),landscape,
IV,350,327,Pectoral Sandpiper,Tringa pectoralis (Bonap.),landscape,
IV,354,328,Pigmy Curlew,Tringa subarquata (Temm.),landscape,
IV,358,329,Dunlin or Purre,Tringa variabilis (Meyer),landscape,
IV,362,330,Schinz's Sandpiper,Tringa Schinzii (Bonap.),landscape,
IV,366,331,Broad-billed Tringa,Tringa platyrhyncha (Temm.),landscape,
IV,370,332,Little Sandpiper,Tringa minuta (Leisler),landscape,
IV,374,333,Temminck's Tringa,Tringa Temminckii (Leisl.),landscape,
IV,378,334,Purple Sandpiper,Tringa maritima (Brunn.),landscape,
IV,382,335,Sanderling,Arenaria Calidris (Meyer),landscape,
IV,386,336,Red-necked Phalarope,Phalaropus Hyperboreus (Lath.),landscape,
IV,390,337,Grey Phalarope,Phalaropus platyrhynchus (Temm.),landscape,
IV,394,338,Coot,Fulica ater (Linn.),landscape,
IV,398,339,Water Rail,Rallus aquaticus (Linn.),landscape,
IV,402,340,Hyacinthine Porphyrio,Porphyrio hyacinthinus (Temm.),landscape,
IV,406,341,Land Rail,Gallinula crex (Lath.),landscape,
IV,410,342,Common Gallinule,Gallinula Chloropus (Lath.),landscape,
IV,414,343,Spotted Crake,Zapornia Porzana,landscape,No author cited in caption
IV,418,344,Baillon's Crake,Zapornia Bailloni (Leach),landscape,
