volume,plate,figure,printed_name,printed_latin,scientific,common,ebird_code,taxonomy,wikidata,gbif,avibase,birdnet_label,form,confidence,caption_checked,reason,sources
I,18,,Grass-Owl,Strix candida,,,,,,,,,,none,yes,not identified here; the Kansas catalogue reads Tyto capensis (Grass Owl),List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,19,,Mahratta Nightjar,Caprimulgus Mahrattensis,,,,,,,,,,none,yes,not identified here; the Kansas catalogue reads Caprimulgus mahrattensis (Sykes's Nightjar),List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,20,,Palm Roof-Swift,Cypselus infumatus,Cypsiurus balasiensis,Asian Palm Swift,aspswi1,eBird/Clements 2025,Q31797,2477102,83C40F897AF9D6BC,Cypsiurus balasiensis_Asian Palm-Swift,subspecies,low,yes,the survey's form assignment; the Kansas catalogue reads Cypsiurus parvus (African Palm Swift),List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,21,,Crested Tree-Swift,Dendrochelidon coronatus,Hemiprocne coronata,Crested Treeswift,cretre1,eBird/Clements 2025,Q950441,2477443,509C8FD492EBA33C,Hemiprocne coronata_Crested Treeswift,,high,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
I,22,,Klecho Tree-Swift,Dendrochelidon Klecho,Hemiprocne longipennis,Gray-rumped Treeswift,gyrtre1,eBird/Clements 2025,Q31795,2477451,9B8B422FAC57333A,Hemiprocne longipennis_Gray-rumped Treeswift,subspecies,medium,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,23,,Wallace's Tree-Swift,Dendrochelidon Wallacei,Hemiprocne longipennis,Gray-rumped Treeswift,gyrtre1,eBird/Clements 2025,Q31795,2477451,9B8B422FAC57333A,Hemiprocne longipennis_Gray-rumped Treeswift,subspecies,medium,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,24,,Bearded Tree-Swift,Dendrochelidon mystaceus,Hemiprocne mystacea,Moustached Treeswift,moutre1,eBird/Clements 2025,Q778386,2477444,C689BD7EDABEE892,Hemiprocne mystacea_Moustached Treeswift,,high,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
I,25,,Hooded Tree-Swift,Dendrochelidon comatus,Hemiprocne comata,Whiskered Treeswift,whitre1,eBird/Clements 2025,Q1006422,2477440,76477B324EFF7953,Hemiprocne comata_Whiskered Treeswift,,high,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
I,26,,Wire-tailed Swallow,Hirundo filifera,Hirundo smithii,Wire-tailed Swallow,witswa1,eBird/Clements 2025,Q375793,5230801,B79D6B3DD15ECB2B,Hirundo smithii_Wire-tailed Swallow,subspecies,medium,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,27,,Western Mosque-Swallow,Cecropis rufula,Cecropis daurica,Eastern Red-rumped Swallow,y00621,eBird/Clements 2025,Q27075446,9717283,6FE118C6,Cecropis daurica_Red-rumped Swallow,subspecies,medium,yes,eBird 2025 splits Red-rumped Swallow; the binomial stays with Eastern Red-rumped Swallow,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,28,,Daurian Mosque-Swallow,Cecropis Daurica,Cecropis daurica,Eastern Red-rumped Swallow,y00621,eBird/Clements 2025,Q27075446,9717283,6FE118C6,Cecropis daurica_Red-rumped Swallow,,high,yes,eBird 2025 splits Red-rumped Swallow; the binomial stays with Eastern Red-rumped Swallow,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
I,29,,Indian Mosque-Swallow,Cecropis erythropygia,Cecropis daurica,Eastern Red-rumped Swallow,y00621,eBird/Clements 2025,Q27075446,9717283,6FE118C6,Cecropis daurica_Red-rumped Swallow,subspecies,medium,yes,eBird 2025 splits Red-rumped Swallow; the binomial stays with Eastern Red-rumped Swallow,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,30,,Ceylonese Mosque-Swallow,Cecropis hyperythra,,,,,,,,,,none,yes,not identified here; the Kansas catalogue reads Hirundo (Cecropis) hyperythra (Sri Lanka Swallow),List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,31,,Nepal Martin-Swallow,Delichon Nipalensis,,,,,,,,,,none,yes,"not identified here; the Kansas catalogue reads Delichon nipalense (Nepal House Martin, Nepal Martin)",List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,32,,Bungalow Swallow,Hypurolepis domicola,,,,,,,,,,none,yes,not identified here; the Kansas catalogue reads Hirundo domicola (Hill Swallow),List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,33,,Indian Cliff-Swallow,Lagenoplastes fluvicola,Petrochelidon fluvicola,Streak-throated Swallow,sttswa2,eBird/Clements 2025,Q1306657,5846407,E96C9563A0CA1A2E,Petrochelidon fluvicola_Streak-throated Swallow,,high,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
I,34,,Pirik Bee-eater,Merops quinticolor,Merops leschenaulti,Chestnut-headed Bee-eater,chbeat1,eBird/Clements 2025,Q31958,2475392,F8652F4FF1CF9E8D,Merops leschenaulti_Chestnut-headed Bee-eater,,high,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
I,35,,Hurrial Bee-eater,Merops viridis,Merops orientalis,Asian Green Bee-eater,grnbee3,eBird/Clements 2025,,,,Merops orientalis_Green Bee-eater,,judged,yes,"pinned by the bird: all green, golden crown, black gorget; printed Merops viridis (Wells)",List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
I,36,,Philippine Bee-eater,Merops Philippinus,Merops philippinus,Blue-tailed Bee-eater,btbeat1,eBird/Clements 2025,Q31884,2475452,809951F0A4498585,Merops philippinus_Blue-tailed Bee-eater,,high,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
I,37,,Blue-throated Nyctiornis,Nyctiornis Athertoni,Nyctyornis athertoni,Blue-bearded Bee-eater,bbbeat1,eBird/Clements 2025,Q882415,2475458,5C15B5FC4FC6338D,Nyctyornis athertoni_Blue-bearded Bee-eater,,high,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
I,38,,Red-throated Nyctiornis,Nyctiornis amictus,Nyctyornis amictus,Red-bearded Bee-eater,rbbeat1,eBird/Clements 2025,Q1193740,2475461,793BF787C5F18182,Nyctyornis amictus_Red-bearded Bee-eater,,high,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
I,39,,Forsten's Bee-eater,Meropogon Forsteni,,,,,,,,,,none,yes,not identified here; the Kansas catalogue reads Meropogon forsteni (Purple-bearded Bee-eater),List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,40,,Hombron's Kingfisher,Actenoides Hombroni,,,,,,,,,,none,yes,not identified here; the Kansas catalogue reads Actenoides hombroni (Hombron's Kingfisher),List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,41,,Lindsay's Kingfisher,Actenoides Lindsayi,Actenoides lindsayi,Spotted Kingfisher,spokin1,eBird/Clements 2025,Q1270721,2475675,0FDF970A82D0B75C,Actenoides lindsayi_Spotted Kingfisher,,high,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
I,42,,Sumatra Kingfisher,Actenoides concretus,Actenoides concretus,Rufous-collared Kingfisher,ruckin1,eBird/Clements 2025,Q1271058,2475663,4A150CE8063B780F,Actenoides concretus_Rufous-collared Kingfisher,,high,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
I,43,,Indian Kingfisher,Halcyon fusca,Halcyon smyrnensis,White-throated Kingfisher,whtkin2,eBird/Clements 2025,Q735158,5228328,3EEE4BB4CEACA3FC,Halcyon smyrnensis_White-throated Kingfisher,subspecies,medium,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,44,,Manilla Kingfisher,Halcyon gularis,Halcyon gularis,Brown-breasted Kingfisher,bnbkin1,eBird/Clements 2025,Q10764826,7718826,,Halcyon gularis_Brown-breasted Kingfisher,,high,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
I,45,,Black-capped Kingfisher,Halcyon atricapillus,Halcyon pileata,Black-capped Kingfisher,blckin1,eBird/Clements 2025,Q1049056,5228310,6B292CA05BDA4273,Halcyon pileata_Black-capped Kingfisher,,high,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
I,46,,Blue-and-white Kingfisher,Halcyon fulgidus,,,,,,,,,,none,yes,not identified here; the Kansas catalogue reads Caridonax fulgidus (Glittering Kingfisher),List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,47,,Many-coloured Kingfisher,Halcyon omnicolor,Todiramphus chloris,Collared Kingfisher,colkin1,eBird/Clements 2025,Q31898,2475742,5DA28D375F27F00A,Todiramphus chloris_Collared Kingfisher,subspecies,low,yes,the survey's form assignment; the Kansas catalogue reads Halcyon cyanoventris (Javan Kingfisher),List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,48,,Banded Kingfisher,Carcineutes pulchellus,Lacedo pulchella,Banded Kingfisher,bankin1,eBird/Clements 2025,Q2461994,2475559,303D53564070450E,Lacedo pulchella_Banded Kingfisher,,high,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
I,49,,Black-faced Kingfisher,Carcineutes melanops,,,,,,,,,,none,yes,not identified here; the Kansas catalogue reads Lacedo pulchella melanops (Banded Kingfisher),List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,50,,Tenasserim Kingfisher,Carcineutes amabilis,Lacedo pulchella,Banded Kingfisher,bankin1,eBird/Clements 2025,Q2461994,2475559,303D53564070450E,Lacedo pulchella_Banded Kingfisher,subspecies,medium,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,51,,Mantled Kingfisher,Dacelo Tyro,Dacelo tyro,Spangled Kookaburra,spakoo1,eBird/Clements 2025,Q716456,2475651,5B365DF7A74FE856,,,high,yes,"the Spangled Kookaburra (KU), not in BirdNET",List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,52,,Great Alcedo,Alcedo grandis,,,,,,,,,,none,yes,not identified here; the Kansas catalogue reads Alcedo hercules (Blyth's Kingfisher),List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,53,,Indian Kingfisher,Alcedo Bengalensis,Alcedo atthis,Common Kingfisher,comkin1,eBird/Clements 2025,Q79915,2475532,9505E03D7416B365,Alcedo atthis_Common Kingfisher,subspecies,medium,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,54,,Indian Roller,Coracias indica,Coracias benghalensis,Indian Roller,indrol2,eBird/Clements 2025,,,,Coracias benghalensis_Indian Roller,,high,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
I,55,,Burmese Roller,Coracias affinis,,,,,,,,,,none,yes,not identified here; the Kansas catalogue reads Coracias benghalensis affinis (Indian Roller),List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,56,,Temminck's Roller,Coracias Temmincki,,,,,,,,,,none,yes,"not identified here; the Kansas catalogue reads Coracias temminckii (Purple-winged Roller, Sulawesi Roller)",List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,57,,Javan Eurylaime,Eurylaimus Javanicus,Eurylaimus javanicus,Banded Broadbill,banbro1,eBird/Clements 2025,Q598819,2484549,07D343CCBE8FAF9F,Eurylaimus javanicus_Banded Broadbill,,high,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
I,58,,Hooded Eurylaime,Eurylaimus ochromelas,,,,,,,,,,none,yes,not identified here; the Kansas catalogue reads Eurylaimus ochromalus (Black-and-yellow Broadbill),List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,59,,Great-billed Eurylaime,Cymbirhynchus macrorhynchus,Cymbirhynchus macrorhynchos,Black-and-red Broadbill,barbro1,eBird/Clements 2025,Q876234,2484543,2F81A394BE6ECFFD,Cymbirhynchus macrorhynchos_Black-and-red Broadbill,,high,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
I,60,,Allied Eurylaime,Cymbirhynchus affinis,Cymbirhynchus macrorhynchos,Black-and-red Broadbill,barbro1,eBird/Clements 2025,Q876234,2484543,2F81A394BE6ECFFD,Cymbirhynchus macrorhynchos_Black-and-red Broadbill,subspecies,medium,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,61,,Great Eurylaime,Corydon Sumatranus,Corydon sumatranus,Dusky Broadbill,dusbro1,eBird/Clements 2025,Q262933,5229948,BB1E6094E362C526,Corydon sumatranus_Dusky Broadbill,,high,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
I,62,,Lunated Eurylaime,Serilophus lunatus,Serilophus lunatus,Silver-breasted Broadbill,sibbro3,eBird/Clements 2025,,,,Serilophus lunatus_Silver-breasted Broadbill,,high,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
I,63,,Red-backed EEurylaime,Serilophus rubropygius,Serilophus lunatus,Silver-breasted Broadbill,sibbro3,eBird/Clements 2025,,,,Serilophus lunatus_Silver-breasted Broadbill,subspecies,medium,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,64,,Dalhousie's Eurylaime,Psarisoinus Dalhousie,Psarisomus dalhousiae,Long-tailed Broadbill,lotbro1,eBird/Clements 2025,Q282943,2484526,63944E031BC7D37B,Psarisomus dalhousiae_Long-tailed Broadbill,,high,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
I,65,,Steere's Broadbill,Sarcophanops Steerii,,,,,,,,,,none,yes,not identified here; the Kansas catalogue reads Sarcophanops steerii (Steere's Broadbill),List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,66,,Indian Hoopoe,Upupa nigripennis,Upupa epops,Common Hoopoe,hoopoe,eBird/Clements 2025,Q25247,2498415,FA2F9125,Upupa epops_Eurasian Hoopoe,subspecies,medium,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,67,,Duvaucel's Trogon,Harpactes Duvauceli,Harpactes duvaucelii,Scarlet-rumped Trogon,scrtro1,eBird/Clements 2025,Q1261673,5232068,80DFB0BEFE47A7D2,Harpactes duvaucelii_Scarlet-rumped Trogon,,high,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
I,68,,Malacca Trogon,Harpactes rutilus,Harpactes duvaucelii,Scarlet-rumped Trogon,scrtro1,eBird/Clements 2025,Q1261673,5232068,80DFB0BEFE47A7D2,Harpactes duvaucelii_Scarlet-rumped Trogon,subspecies,medium,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,69,,Hodgson's Trogon,Harpactes Hodgsoni,Harpactes erythrocephalus,Red-headed Trogon,rehtro1,eBird/Clements 2025,Q374805,5232031,B8B765D8D01C96E7,Harpactes erythrocephalus_Red-headed Trogon,subspecies,medium,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,70,,Diard's Trogon,Harpactes Diardi,Harpactes diardii,Diard's Trogon,diatro1,eBird/Clements 2025,Q854665,5232061,ECF71AC70D7481AE,Harpactes diardii_Diard's Trogon,,high,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
I,71,,Mountain Trogon,Harpactes Oreskios,Harpactes oreskios,Orange-breasted Trogon,orbtro2,eBird/Clements 2025,Q1270238,5232055,F663214EC2B901F8,Harpactes oreskios_Orange-breasted Trogon,,high,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
I,72,,Reinwardt's Trogon,Harpactes Reinwardti,,,,,,,,,,none,yes,not identified here; the Kansas catalogue reads Trogon rufus tenellus (Black-throated Trogon),List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,73,,Macklot's Trogon,Harpactes Mackloti,,,,,,,,,,none,yes,not identified here; the Kansas catalogue reads Trogon curucui (Blue-crowned Trogon),List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,74,,Kasumba Trogon,Harpactes Kasumba,Harpactes kasumba,Red-naped Trogon,rentro1,eBird/Clements 2025,Q1263288,5232070,D04AAF765C1B75DE,Harpactes kasumba_Red-naped Trogon,,high,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
I,75,,Fasciated Trogon,Harpactes fasciatus,Harpactes fasciatus,Malabar Trogon,maltro1,eBird/Clements 2025,Q1274580,5232051,FC98A36A9CC41391,Harpactes fasciatus_Malabar Trogon,,high,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
I,76,,Rosy-breasted Trogon,Harpactes ardens,Harpactes ardens,Philippine Trogon,phitro1,eBird/Clements 2025,Q1260438,5232045,AFED9D54AAD67DBD,Harpactes ardens_Philippine Trogon,,high,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
II,1,,Green Cochoa,Cochoa viridis,Cochoa viridis,Green Cochoa,grecoc1,eBird/Clements 2025,Q1585763,2492554,D29F7DED07083991,Cochoa viridis_Green Cochoa,,high,yes,,List of Plates (vol. II); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
II,2,,Purple Cochoa,Cochoa purpurea,,,,,,,,,,none,yes,not identified here; the Kansas catalogue reads Cochoa purpurea (Purple Cochoa),List of Plates (vol. II); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
II,3,,Grey-throated Pericrocotus,Pericrocotus griseogularis,Pericrocotus solaris,Gray-chinned Minivet,gycmin1,eBird/Clements 2025,Q1590404,2486821,,Pericrocotus solaris_Gray-chinned Minivet,subspecies,medium,yes,,List of Plates (vol. II); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
II,4,,Canton Pericrocotus,Pericrocotus cantonensis,Pericrocotus cantonensis,Brown-rumped Minivet,brrmin1,eBird/Clements 2025,Q1037950,2486817,,Pericrocotus cantonensis_Brown-rumped Minivet,,high,yes,,List of Plates (vol. II); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
II,5,,Yellow-throated Pericrocotus,Pericrocotus solaris,Pericrocotus solaris,Gray-chinned Minivet,gycmin1,eBird/Clements 2025,Q1590404,2486821,,Pericrocotus solaris_Gray-chinned Minivet,,high,yes,,List of Plates (vol. II); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
II,6,,Cawnpore Pericrocotus,Pericrocotus erythropygius,Pericrocotus erythropygius,White-bellied Minivet,whbmin3,eBird/Clements 2025,,,,Pericrocotus erythropygius_White-bellied Minivet,,high,yes,,List of Plates (vol. II); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
II,7,,Great Pericrocotus,Pericrocotus speciosus,Pericrocotus speciosus,Scarlet Minivet,scamin1,eBird/Clements 2025,Q12265751,6101031,,Pericrocotus speciosus_Scarlet Minivet,,high,yes,,List of Plates (vol. II); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
II,8,,Orange Pericrocotus,Pericrocotus flammeus,Pericrocotus flammeus,Orange Minivet,scamin3,eBird/Clements 2025,Q605732,2486819,,Pericrocotus flammeus_Orange Minivet,,high,yes,,List of Plates (vol. II); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
II,9,,Little Pericrocotus,Pericrocotus peregrinus,Pericrocotus cinnamomeus,Small Minivet,smamin1,eBird/Clements 2025,Q244251,2486822,B5C1302B4459DA8B,Pericrocotus cinnamomeus_Small Minivet,,high,yes,,List of Plates (vol. II); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
II,10,,Rosy Pericrocotus,Pericrocotus roseus,,,,,,,,,,none,yes,not identified here; the Kansas catalogue reads Pericrocotus roseus (Rosy Minivet),List of Plates (vol. II); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
