plate,figure,printed_name,printed_latin,scientific,common,ebird_code,taxonomy,wikidata,gbif,avibase,birdnet_label,form,confidence,caption_checked,reason,sources
19,,Jer Falcon,Falco Islandicus,Falco rusticolus,Gyrfalcon,gyrfal,eBird/Clements 2025,Q177688,8069880,E19252A76FC7845B,Falco rusticolus_Gyrfalcon,subspecies,high,yes,"Iceland Falcon (F. islandicus) is a pale form of the Gyrfalcon, F. rusticolus",General List (vol. I); engraved caption on the leaf; crosswalk
20,,Lanner Falcon,Falco Lanarius,,,,,,,,,,low,no,"Lanner (F. biarmicus) is not in BirdNET labels; and ""Falco lanarius"" of the 1830s was also applied to the Saker (F. cherrug, also absent). Blank",General List (vol. I); crosswalk
21,,Peregrine Falcon,Falco Peregrinus,Falco peregrinus,Peregrine Falcon,perfal,eBird/Clements 2025,Q30535,2481047,C7F1C08CB3F7F2DA,Falco peregrinus_Peregrine Falcon,,high,yes,Falco Peregrinus Linn. = Falco peregrinus (Peregrine Falcon); same species,General List (vol. I); engraved caption on the leaf; crosswalk
22,,Hobby,Falco subbuteo,Falco subbuteo,Eurasian Hobby,eurhob,eBird/Clements 2025,Q25876,2481035,E91E287A2946B0C9,Falco subbuteo_Eurasian Hobby,,high,yes,Falco subbuteo Linn. = Falco subbuteo (Eurasian Hobby); same species,General List (vol. I); engraved caption on the leaf; crosswalk
23,,Red-footed Falcon,Falco rufipes,Falco vespertinus,Red-footed Falcon,reffal1,eBird/Clements 2025,Q179625,2481062,997A9437E564FCFE,Falco vespertinus_Red-footed Falcon,,high,yes,Falco rufipes Bechst. = Red-footed Falcon F. vespertinus,General List (vol. I); engraved caption on the leaf; crosswalk
24,,Merlin,Falco Æsalon,Falco columbarius,Merlin,merlin,eBird/Clements 2025,Q131918,9813242,F3DA111CC8A6841B,Falco columbarius_Merlin,,high,yes,"Falco aesalon Temm. = Merlin; Eurasian Merlin is sometimes split as F. aesalon, BirdNET keeps F. columbarius",General List (vol. I); engraved caption on the leaf; crosswalk
25,,Lead-coloured Falcon,Falco concolor,,,,,,,,,,low,no,"Sooty Falcon (F. concolor) is not in BirdNET labels; and Gould's dark European ""concolor"" may be a dark Eleonora's Falcon (described 1839), also absent. Blank",General List (vol. I); crosswalk
26,,Kestrel,Falco Tinnunculus,Falco tinnunculus,Eurasian Kestrel,eurkes,eBird/Clements 2025,Q26490,9616058,DCDDC20BDA55E5D3,Falco tinnunculus_Eurasian Kestrel,,high,yes,Falco Tinnunculus Linn. = Falco tinnunculus (Eurasian Kestrel); same species,General List (vol. I); engraved caption on the leaf; crosswalk
27,,Lesser Kestrel,Falco Tinnunculoides,Falco naumanni,Lesser Kestrel,leskes1,eBird/Clements 2025,Q229408,9584698,BECA271F14F77BEE,Falco naumanni_Lesser Kestrel,,high,yes,Falco tinnunculoides Natt. = Lesser Kestrel F. naumanni,General List (vol. I); engraved caption on the leaf; crosswalk
28,,Kite,Milvus vulgaris,Milvus milvus,Red Kite,redkit1,eBird/Clements 2025,Q156250,5229168,4E76C8C0,Milvus milvus_Red Kite,,high,yes,Milvus vulgaris Flem. = Red Kite,General List (vol. I); engraved caption on the leaf; crosswalk
29,,Black Kite,Milvus ater,Milvus migrans,Black Kite,blakit1,eBird/Clements 2025,Q80362,5229167,C1C255AA01C58664,Milvus migrans_Black Kite,,high,yes,Milvus ater = Black Kite M. migrans,General List (vol. I); engraved caption on the leaf; crosswalk
30,,Swallow-tailed Kite,Nauclerus furcatus,Elanoides forficatus,Swallow-tailed Kite,swtkit,eBird/Clements 2025,Q430540,2480461,1BAC66452DCC9AC9,Elanoides forficatus_Swallow-tailed Kite,,high,yes,Nauclerus furcatus = American Swallow-tailed Kite,General List (vol. I); engraved caption on the leaf; crosswalk
31,,Black-winged Kite,Elanus melanopterus,Elanus caeruleus,Black-winged Kite,bkskit1,eBird/Clements 2025,Q27227,2480372,97C47F3E1BA4129A,Elanus caeruleus_Black-winged Kite,,high,yes,Elanus melanopterus Leach = Black-winged Kite E. caeruleus,General List (vol. I); engraved caption on the leaf; crosswalk
32,,Marsh Harrier,Circus rufus,Circus aeruginosus,Western Marsh Harrier,wemhar1,eBird/Clements 2025,Q26431,2480482,E2A19474E62F83E1,Circus aeruginosus_Eurasian Marsh-Harrier,,high,yes,Circus rufus Briss. = Marsh Harrier C. aeruginosus,General List (vol. I); engraved caption on the leaf; crosswalk
33,,Hen Harrier,Circus cyaneus,Circus cyaneus,Hen Harrier,norhar1,eBird/Clements 2025,Q25572,2480487,F558C7F96E40C134,Circus cyaneus_Hen Harrier,,high,yes,European Hen Harrier; BirdNET already splits Northern Harrier (C. hudsonius) off,General List (vol. I); engraved caption on the leaf; crosswalk
34,,Pallid Harrier,Circus pallidus,Circus macrourus,Pallid Harrier,palhar1,eBird/Clements 2025,Q230837,2480491,22647E26E5C80F2E,Circus macrourus_Pallid Harrier,,high,yes,Circus pallidus Sykes = Pallid Harrier C. macrourus,General List (vol. I); engraved caption on the leaf; crosswalk
35,,Ash-coloured Harrier,Circus cineraceus,Circus pygargus,Montagu's Harrier,monhar1,eBird/Clements 2025,Q26574,2480495,63B6412E23CC0D93,Circus pygargus_Montagu's Harrier,,high,yes,Circus cineraceus Meyer = Montagu's Harrier C. pygargus (Gould's 'Ash-coloured Harrier'),General List (vol. I); engraved caption on the leaf; crosswalk
36,,Barn Owl,Strix flammea,Tyto alba,Western Barn Owl,webowl1,eBird/Clements 2025,,,,Tyto alba_Barn Owl,,high,yes,"Strix flammea Linn. = Barn Owl; European bird is Western Barn Owl if split, BirdNET keeps Tyto alba; eBird splits Barn Owl; the binomial stays with Western Barn Owl",General List (vol. I); engraved caption on the leaf; crosswalk
37,,Great Horned or Eagle Owl,Bubo maximus,Bubo bubo,Eurasian Eagle-Owl,eueowl1,eBird/Clements 2025,Q130933,5959092,5516AEB347441B72,Bubo bubo_Eurasian Eagle-Owl,,high,yes,Bubo maximus Sibb. = Eurasian Eagle-Owl,General List (vol. I); engraved caption on the leaf; crosswalk
38,,Eastern Great Horned Owl,Bubo Ascalaphus,,,,,,,,,,high,no,"Bubo Ascalaphus = Bubo ascalaphus, which is not a BirdNET V2.4 label; blank. Bubo ascalaphus Savigny = Pharaoh Eagle-Owl",General List (vol. I); crosswalk
39,,Long-eared Owl,Otus vulgaris,Asio otus,Long-eared Owl,loeowl,eBird/Clements 2025,Q25384,2497306,FC4D40D2D5CEA6BE,Asio otus_Long-eared Owl,,high,yes,Otus vulgaris Flem. = Long-eared Owl,General List (vol. I); engraved caption on the leaf; crosswalk
40,,Short-eared Owl,Otus Brachyotus,Asio flammeus,Short-eared Owl,sheowl,eBird/Clements 2025,Q25769,2497295,8F123A11E5DADFDD,Asio flammeus_Short-eared Owl,,high,yes,Otus brachyotus = Short-eared Owl,General List (vol. I); engraved caption on the leaf; crosswalk
41,,Scops-eared Owl,Scops Aldrovandi,Otus scops,Eurasian Scops-Owl,eursco1,eBird/Clements 2025,Q171563,2497701,8B9017E833633F09,Otus scops_Eurasian Scops-Owl,,high,yes,Scops Aldrovandi = Eurasian Scops Owl,General List (vol. I); engraved caption on the leaf; crosswalk
42,,Great Cinereous Owl,Surnia cinerea,Strix nebulosa,Great Gray Owl,grgowl,eBird/Clements 2025,Q200724,2497522,FA36ABE544B38D79,Strix nebulosa_Great Gray Owl,,high,yes,"Strix cinerea Gmel. = Great Grey Owl (modern Strix nebulosa). Trap: Gould's ""nebulosa"" is plate 46, the Barred Owl",General List (vol. I); engraved caption on the leaf; crosswalk
43,,Snowy Owl,Surnia Nyctea,Bubo scandiacus,Snowy Owl,snoowl1,eBird/Clements 2025,Q170177,5959143,5B23B360E7DEC4A9,Bubo scandiacus_Snowy Owl,,high,yes,Strix nyctea Linn. = Snowy Owl,General List (vol. I); engraved caption on the leaf; crosswalk
44,,Ural Owl,Surnia Uralensis,Strix uralensis,Ural Owl,uraowl1,eBird/Clements 2025,Q190083,2497509,E162AEB825EEBCE3,Strix uralensis_Ural Owl,,high,yes,Surnia Uralensis Dum. = Strix uralensis (Ural Owl); same species,General List (vol. I); engraved caption on the leaf; crosswalk
45,,Hawk Owl,Surnia funerea,Surnia ulula,Northern Hawk Owl,nohowl,eBird/Clements 2025,Q193192,2497894,C2018A5DD8CDB5F5,Surnia ulula_Northern Hawk Owl,,high,yes,Surnia funerea = Northern Hawk Owl S. ulula,General List (vol. I); engraved caption on the leaf; crosswalk
46,,Barred Owl,Ulula nebulosa,Strix varia,Barred Owl,brdowl,eBird/Clements 2025,Q630457,2497541,BDBB04D55A6762C8,Strix varia_Barred Owl,,high,yes,"Strix nebulosa Forster (as Gould/Cuvier used it) = the American Barred Owl, today Strix varia; the Great Grey Owl is his separate plate 42. Trap: modern Strix nebulosa is the Great Grey",General List (vol. I); engraved caption on the leaf; crosswalk
47,,Tawny or Wood Owl,Syrnium Aluco,Strix aluco,Tawny Owl,tawowl1,eBird/Clements 2025,Q25756,9282206,612B4380B3AF772A,Strix aluco_Tawny Owl,,high,yes,Syrnium Aluco Savig. = Strix aluco (Tawny Owl); same species,General List (vol. I); engraved caption on the leaf; crosswalk
48,,Little Owl,Noctua nudipes,Athene noctua,Little Owl,litowl1,eBird/Clements 2025,Q129958,2497266,9A7B268C4EF6F803,Athene noctua_Little Owl,,high,yes,Noctua nudipes Nilss. = Little Owl A. noctua (Gould's 'Little Owl'),General List (vol. I); engraved caption on the leaf; crosswalk
49,,Tengmalm's Owl,Noctua ? Tengmalmi,Aegolius funereus,Boreal Owl,borowl,eBird/Clements 2025,Q174466,5739298,8AB4EAF6DBFA02CE,Aegolius funereus_Boreal Owl,,high,yes,Tengmalm's Owl = Boreal Owl A. funereus,General List (vol. I); engraved caption on the leaf; crosswalk
50,,Sparrow Owl,Noctua passerina,Glaucidium passerinum,Eurasian Pygmy-Owl,eupowl1,eBird/Clements 2025,Q191155,5232162,79E2AC7C3122B93F,Glaucidium passerinum_Eurasian Pygmy-Owl,,high,yes,Sparrow Owl = Eurasian Pygmy Owl,General List (vol. I); engraved caption on the leaf; crosswalk
51,,European Goatsucker,Caprimulgus Europæus,Caprimulgus europaeus,Eurasian Nightjar,eurnig1,eBird/Clements 2025,Q26717,8109681,D648523706523437,Caprimulgus europaeus_Eurasian Nightjar,,high,yes,Caprimulgus Europæus Linn. = Caprimulgus europaeus (Eurasian Nightjar); same species,General List (vol. I); engraved caption on the leaf; crosswalk
52,,Red-collared Goatsucker,Caprimulgus ruficollis,Caprimulgus ruficollis,Red-necked Nightjar,rennig1,eBird/Clements 2025,Q1137192,9411857,6CC3D04BF479A2A2,Caprimulgus ruficollis_Red-necked Nightjar,,high,yes,Caprimulgus ruficollis Temm. = Caprimulgus ruficollis (Red-necked Nightjar); same species,General List (vol. I); engraved caption on the leaf; crosswalk
53,1. Swift.,Swift,Cypselus murarius,Apus apus,Common Swift,comswi,eBird/Clements 2025,Q25377,5228676,4E6EF3F983079D73,Apus apus_Common Swift,,high,yes,Cypselus murarius Temm. = Common Swift,General List (vol. I); engraved caption on the leaf; crosswalk
53,2. White-bellied Swift.,White-bellied Swift,Cypselus alpinus,Tachymarptis melba,Alpine Swift,alpswi1,eBird/Clements 2025,,,FA1CAD2906F7C845,Apus melba_Alpine Swift,,high,yes,Cypselus alpinus Temm. = Alpine Swift,General List (vol. I); engraved caption on the leaf; crosswalk
54,,Chimney Swallow,Hirundo rustica,Hirundo rustica,Barn Swallow,barswa,eBird/Clements 2025,Q25429,9515886,58C502EA7AF3E023,Hirundo rustica_Barn Swallow,,high,yes,Hirundo rustica Linn. = Hirundo rustica (Barn Swallow); same species,General List (vol. I); engraved caption on the leaf; crosswalk
55,,Rufous Swallow,Hirundo rufula,Cecropis rufula,European Red-rumped Swallow,rerswa8,eBird/Clements 2025,,,,Cecropis daurica_Red-rumped Swallow,,high,yes,"Hirundo rufula Temm. = the European Red-rumped Swallow; some lists split it as Cecropis rufula, BirdNET keeps one C. daurica; eBird 2025 splits Red-rumped Swallow; the binomial stays with Eastern Red-rumped Swallow",General List (vol. I); engraved caption on the leaf; crosswalk
56,,Rock Martin,Hirundo rupestris,Ptyonoprogne rupestris,Eurasian Crag-Martin,eurcrm1,eBird/Clements 2025,Q213216,4408796,6F2AF9D09463566F,Ptyonoprogne rupestris_Eurasian Crag-Martin,,high,yes,Crag Martin,General List (vol. I); engraved caption on the leaf; crosswalk
57,,Martin,Hirundo urbica,Delichon urbicum,Western House-Martin,comhom1,eBird/Clements 2025,,,,Delichon urbicum_Common House-Martin,,high,yes,House Martin,General List (vol. I); engraved caption on the leaf; crosswalk
58,,Sand Martin,Hirundo riparia,Riparia riparia,Bank Swallow,banswa,eBird/Clements 2025,Q25909,2489160,94A1C447583CB6D2,Riparia riparia_Bank Swallow,,high,yes,Sand Martin (BirdNET: Bank Swallow),General List (vol. I); engraved caption on the leaf; crosswalk
59,,Bee Eater,Merops Apiaster,Merops apiaster,European Bee-eater,eubeat1,eBird/Clements 2025,Q170718,2475443,66AA3934DBAD18BC,Merops apiaster_European Bee-eater,,high,yes,Merops Apiaster Linn. = Merops apiaster (European Bee-eater); same species,General List (vol. I); engraved caption on the leaf; crosswalk
60,,Roller,Coracias garrulus,Coracias garrulus,European Roller,eurrol1,eBird/Clements 2025,Q179367,2475365,7451A628C39538C5,Coracias garrulus_European Roller,,high,yes,Coracias garrulus Linn. = Coracias garrulus (European Roller); same species,General List (vol. I); engraved caption on the leaf; crosswalk
61,,Kingsfisher,Alcedo Ispida,Alcedo atthis,Common Kingfisher,comkin1,eBird/Clements 2025,Q79915,2475532,9505E03D7416B365,Alcedo atthis_Common Kingfisher,,high,yes,Alcedo ispida Linn. = Common Kingfisher A. atthis,General List (vol. I); engraved caption on the leaf; crosswalk
62,,Black and White Kingsfisher,Alcedo rudis,Ceryle rudis,Pied Kingfisher,piekin1,eBird/Clements 2025,Q320043,2475679,,Ceryle rudis_Pied Kingfisher,,high,yes,Alcedo rudis Linn. = Pied Kingfisher,General List (vol. I); engraved caption on the leaf; crosswalk
63,1. Pied Flycatcher.,Pied Flycatcher,Muscicapa luctuosa,Ficedula hypoleuca,European Pied Flycatcher,eupfly1,eBird/Clements 2025,Q27442,2492606,6E352E1870A195B7,Ficedula hypoleuca_European Pied Flycatcher,,high,yes,Muscicapa luctuosa Temm. = Pied Flycatcher F. hypoleuca,General List (vol. I); engraved caption on the leaf; crosswalk
63,2. White-collared Flycatcher.,White-collared Flycatcher,Muscicapa albicollis,Ficedula albicollis,Collared Flycatcher,colfly1,eBird/Clements 2025,Q690826,2492601,0B2F80584ED0F07E,Ficedula albicollis_Collared Flycatcher,,high,yes,Collared Flycatcher,General List (vol. I); engraved caption on the leaf; crosswalk
64,,Red-breasted Flycatcher,Muscicapa parva,Ficedula parva,Red-breasted Flycatcher,rebfly,eBird/Clements 2025,Q241499,2492605,6A3CA06B2496B003,Ficedula parva_Red-breasted Flycatcher,,high,yes,"Red-breasted Flycatcher; Taiga Flycatcher (F. albicilla) split, but that is the Asian form",General List (vol. I); engraved caption on the leaf; crosswalk
65,,Spotted Flycatcher,Muscicapa grisola,Muscicapa striata,Spotted Flycatcher,spofly1,eBird/Clements 2025,Q26607,2492576,EE8206E703914D22,Muscicapa striata_Spotted Flycatcher,,high,yes,Muscicapa grisola Linn. = Spotted Flycatcher M. striata,General List (vol. I); engraved caption on the leaf; crosswalk
66,,Great Shrike,Collurio Excubitor,Lanius excubitor,Great Gray Shrike,norshr1,eBird/Clements 2025,Q184508,2492858,61C2E0E1,Lanius excubitor_Great Gray Shrike,,high,yes,Great Grey Shrike L. excubitor; the American/NE Asian Northern Shrike (L. borealis) is split off and is not Gould's bird,General List (vol. I); engraved caption on the leaf; crosswalk
67,,Great Grey Shrike,Collurio meridionalis,Lanius meridionalis,Iberian Gray Shrike,ibgshr1,eBird/Clements 2025,Q705505,7341500,4AA93A1892DCA52C,Lanius meridionalis_Iberian Gray Shrike,,high,yes,"Lanius meridionalis Temm. = the southern (Iberian) grey shrike, now Iberian Grey Shrike. Trap: Gould's English ""Great Grey Shrike"" is on this plate, not the excubitor one",General List (vol. I); engraved caption on the leaf; crosswalk
68,,Lesser Grey Shrike,Collurio minor,Lanius minor,Lesser Gray Shrike,legshr2,eBird/Clements 2025,Q239393,2492854,8852337B06E8A14E,Lanius minor_Lesser Gray Shrike,,high,yes,Collurio minor Vig. = Lanius minor (Lesser Gray Shrike); same species,General List (vol. I); engraved caption on the leaf; crosswalk
69,,Red-backed Shrike,Lanius Collurio,Lanius collurio,Red-backed Shrike,rebshr1,eBird/Clements 2025,Q26671,7745240,F2CEFD1A4EA5F608,Lanius collurio_Red-backed Shrike,,high,yes,Lanius Collurio Linn. = Lanius collurio (Red-backed Shrike); same species,General List (vol. I); engraved caption on the leaf; crosswalk
70,,Woodchat,Lanius rufus,Lanius senator,Woodchat Shrike,wooshr1,eBird/Clements 2025,Q235052,2492867,7E70D490A6476D16,Lanius senator_Woodchat Shrike,,high,yes,Lanius rufus Briss. = Woodchat Shrike L. senator,General List (vol. I); engraved caption on the leaf; crosswalk
71,,Golden Oriole,Oriolus galbula,Oriolus oriolus,Eurasian Golden Oriole,eugori2,eBird/Clements 2025,Q25388,2488949,92A772BB,Oriolus oriolus_Eurasian Golden Oriole,,high,yes,Oriolus galbula Linn. = Eurasian Golden Oriole,General List (vol. I); engraved caption on the leaf; crosswalk
72,,"Black Ouzel, or Blackbird",Merula vulgaris,Turdus merula,Eurasian Blackbird,eurbla,eBird/Clements 2025,Q25234,2490719,6D7A9C93AD1830EB,Turdus merula_Eurasian Blackbird,,high,yes,Merula vulgaris = Eurasian Blackbird,General List (vol. I); engraved caption on the leaf; crosswalk
73,,Ring Ouzel,Merula torquata,Turdus torquatus,Ring Ouzel,rinouz1,eBird/Clements 2025,Q26641,7865305,CE71B4FF837F276A,Turdus torquatus_Ring Ouzel,,high,yes,Ring Ouzel,General List (vol. I); engraved caption on the leaf; crosswalk
74,,Migratory Ouzel,Merula migratoria,Turdus migratorius,American Robin,amerob,eBird/Clements 2025,Q460967,9510564,D77E4B418D581FB2,Turdus migratorius_American Robin,,high,yes,Turdus migratorius = American Robin,General List (vol. I); engraved caption on the leaf; crosswalk
75,,Black-throated Thrush,Turdus atrogularis,Turdus atrogularis,Black-throated Thrush,datthr1,eBird/Clements 2025,Q80780,4408790,AECDBFFA55C87E24,Turdus atrogularis_Black-throated Thrush,,high,yes,Black-throated Thrush (split from Dark-throated; Gould's name is the black-throated form),General List (vol. I); engraved caption on the leaf; crosswalk
76,,Fieldfare,Turdus pilaris,Turdus pilaris,Fieldfare,fieldf,eBird/Clements 2025,Q25777,2490737,D120D5A070E8123C,Turdus pilaris_Fieldfare,,high,yes,Turdus pilaris Linn. = Turdus pilaris (Fieldfare); same species,General List (vol. I); engraved caption on the leaf; crosswalk
77,,Missel Thrush,Turdus viscivorus,Turdus viscivorus,Mistle Thrush,misthr1,eBird/Clements 2025,Q178942,2490774,A95B43F1E9D10296,Turdus viscivorus_Mistle Thrush,,high,yes,Turdus viscivorus Linn. = Turdus viscivorus (Mistle Thrush); same species,General List (vol. I); engraved caption on the leaf; crosswalk
78,1. Song Thrush.,Song Thrush,Turdus musicus,Turdus philomelos,Song Thrush,sonthr1,eBird/Clements 2025,Q26349,7901064,D929EB214A698282,Turdus philomelos_Song Thrush,,high,yes,Gould used Turdus musicus for the Song Thrush (T. philomelos); the Redwing is its companion on this plate. Trap: Linnaeus's musicus is now read as the Redwing,General List (vol. I); engraved caption on the leaf; crosswalk
78,2. Redwing.,Redwing,Turdus Iliacus,Turdus iliacus,Redwing,redwin,eBird/Clements 2025,Q184825,2490781,A8A85BCF1AFB7BBD,Turdus iliacus_Redwing,,high,yes,Redwing,General List (vol. I); engraved caption on the leaf; crosswalk
79,,Naumann's Thrush,Turdus Naumannii,Turdus naumanni,Naumann's Thrush,dusthr1,eBird/Clements 2025,Q843175,2490732,22761AD4,Turdus naumanni_Naumann's Thrush,,high,yes,Naumann's Thrush (Dusky Thrush T. eunomus split off),General List (vol. I); engraved caption on the leaf; crosswalk
80,,Pallid Thrush,Turdus pallidus,,,,,,,,,,low,no,"Name = Pale Thrush (T. pallidus), but the European ""pallidus"" of Temminck's era was often the Eyebrowed Thrush (T. obscurus); cannot tell which Gould figured. Blank",General List (vol. I); crosswalk
81,,White's Thrush,Turdus Whitei,Zoothera aurea,White's Thrush,scathr2,eBird/Clements 2025,Q949662,4408785,8E267A2656A555F5,Zoothera aurea_White's Thrush,,high,yes,"White's Thrush, the Siberian bird now split from Scaly Thrush Z. dauma as Z. aurea",General List (vol. I); engraved caption on the leaf; crosswalk
82,,Siberian Thrush,Turdus Sibericus,Geokichla sibirica,Siberian Thrush,sibthr1,eBird/Clements 2025,Q258964,6100888,E7163B81013F6CCC,Geokichla sibirica_Siberian Thrush,,high,yes,Siberian Thrush,General List (vol. I); engraved caption on the leaf; crosswalk
83,,Water Ouzel,Cinclus aquaticus,Cinclus cinclus,White-throated Dipper,whtdip1,eBird/Clements 2025,Q201831,2495093,FDECE3B9278A17EC,Cinclus cinclus_White-throated Dipper,,high,yes,Cinclus aquaticus Bechst. = White-throated Dipper,General List (vol. I); engraved caption on the leaf; crosswalk
84,,Black-bellied Water Ouzel,Cinclus melanogaster,Cinclus cinclus,White-throated Dipper,whtdip1,eBird/Clements 2025,Q201831,2495093,FDECE3B9278A17EC,Cinclus cinclus_White-throated Dipper,subspecies,high,no,"Black-bellied Dipper is C. cinclus cinclus (N Europe), a form of White-throated Dipper",General List (vol. I); crosswalk
