volume,plate,kind,ku_id,ku_name,ku_scientific,scientific,common,note
II,77,ku-error,ku-gould:14866,Colluricincla sp. ?,Colluricincla sp. ?,Colluricincla harmonica,Gray Shrikethrush,"KU left it unresolved; Gould: permanent resident of Van Diemen's Land, 'Whistling Dick', syn. strigata Swainson = Tasmanian Grey Shrikethrush"
II,83,same,ku-gould:14842,New Zealand Fantail,Rhipidura fuliginosa,Rhipidura albiscapa,Gray Fantail,Lump: Grey Fantail R. albiscapa was long lumped in New Zealand Fantail R. fuliginosa; Gould's albiscapa (Tasmania) is the Australian bird; plate shows Grey Fantail
III,3,same,ku-gould:14728,Pacific Robin,Petroica multicolor,Petroica boodang,Scarlet Robin,Split: Scarlet Robin P. boodang split from Pacific Robin P. multicolor (Norfolk Is.); Gould's birds are Australian
III,7,ku-error,ku-gould:14712,New Zealand Robin,Petroica australis,Melanodryas cucullata,Hooded Robin,"Petroica bicolor Vig. & Horsf., Gould's Pied Robin = Hooded Robin Melanodryas cucullata; KU's NZ Robin P. australis is a different bird"
III,38,same,ku-gould:14588,Great Reed Warbler,Acrocephalus arundinaceus,Acrocephalus australis,Australian Reed Warbler,Lump: Australian Reed Warbler split from Clamorous/Great Reed Warbler; Gould's longirostris is the Perth reed-bed bird
III,41,crosswalk-error,ku-gould:14576,Great warbler,Cysticola magna,,,"Gould's own synonymy makes magna his Cysticola campestris (PZS 1845) = Rattling Cisticola C. chiniana campestris, an African bird (Natal) whose type locality 'Australia' was an error. Correct label: Cisticola chiniana_Rattling Cisticola (or none if the folio should not name an African bird)"
III,44,same,ku-gould:14564,Square-tailed warbler,Cysticola isura,Cisticola exilis,Golden-headed Cisticola,"KU gives only Gould's name; Gould's isura (Liverpool Plains, Port Phillip) can only be Golden-headed Cisticola there (Zitting Cisticola is tropical)"
III,45,ku-error,ku-gould:14560,Red-pate Cisticola,Cisticola ruficeps,Cisticola exilis,Golden-headed Cisticola,"KU matched Cretzschmar's African Red-pate Cisticola C. ruficeps (homonym); Gould's ruficeps is from Liverpool Plains, Port Phillip and the north coast = Golden-headed Cisticola, breeding male (uniform rufous head)"
III,54,ku-error,ku-gould:14524,Tasmanian Thornbill,Acanthiza ewingii,Acanthiza pusilla,Brown Thornbill,"diemenensis Gould = Tasmanian race of Brown Thornbill (A. pusilla diemenensis); Gould's text keeps it apart from A. ewingii, which is III.55"
III,57,same,ku-gould:14512,Brown Thornbill,Acanthiza pusilla,Acanthiza apicalis,Inland Thornbill,"KU uses the old lump of apicalis in A. pusilla; Gould's Western Acanthiza is from Swan River/King George's Sound, where no Brown Thornbill occurs = Inland Thornbill"
III,58,same,ku-gould:14508,Brown Thornbill,Acanthiza pusilla,Acanthiza apicalis,Inland Thornbill,"KU uses the old lump of apicalis in A. pusilla; Gould: Murray belts, red rump, streaked throat, white tail tips, 'most nearly allied to apicalis' = Inland Thornbill (SE inland form); plate agrees"
IV,2,ku-error,ku-gould:14326,Noisy Pitta,Pitta versicolor,Pitta elegans,Elegant Pitta,Gould's Vigors' Pitta is one Linnean Soc. skin (no locality) = P. elegans vigorsii of the Banda Sea; Noisy Pitta is Gould's P. strepitans (IV.1)
IV,7,same,ku-gould:14306,Scaly Thrush,Zoothera dauma,Zoothera lunulata,Bassian Thrush,Split: Bassian Thrush Z. lunulata split from Scaly Thrush Z. dauma; Gould's bird is Australian
IV,15,same,ku-gould:14270,Green Figbird,Sphecotheres viridis,Sphecotheres vieilloti,Australasian Figbird,Split: Australasian Figbird S. vieilloti split from Green Figbird S. viridis (Timor); Gould's australis is the Australian daughter
IV,29,ku-error,ku-gould:14214,Tawny-crowned Honeyeater,Gliciphila melanops,Purnella albifrons,White-fronted Honeyeater,Gould's Glyciphila albifrons = White-fronted Honeyeater; Tawny-crowned is his G. fulvifrons
IV,33,ku-error,ku-gould:14198,Varied Honeyeater,Lichenostomus versicolor sonoroides,Gavicalis virescens,Singing Honeyeater,Ptilotis sonorus Gould = Singing Honeyeater (virescens); KU put it on a race of Varied Honeyeater
IV,66,ku-error,ku-gould:14066,Black Myzomela,Myzomela nigrita,Sugomel nigrum,Black Honeyeater,Myzomela nigra Gould = Black Honeyeater Sugomel niger; KU's Black Myzomela M. nigrita is New Guinea
IV,73,same,ku-gould:14038,White-naped Honeyeater,Melithreptus lunatus chloropsis,Melithreptus chloropsis,Gilbert's Honeyeater,Split: Gilbert's Honeyeater M. chloropsis split from White-naped M. lunatus; Gould's Swan River bird is chloropsis
IV,82,ku-error,ku-gould:14002,Mauritius Olive White-eye,Zosterops chloronothos,Zosterops lateralis,Silvereye,KU matched Mauritius Olive White-eye by name; Gould's chloronotus is from the west coast of Australia = Silvereye
IV,91,same,ku-gould:13966,Asian Koel,Eudynamys scolopaceus,Eudynamys orientalis,Pacific Koel,Split: Pacific Koel E. orientalis split from Asian Koel E. scolopaceus; Gould's bird is Australian
IV,93,ku-error,ku-gould:13958,White-throated Treecreeper,Cormobates leucophaea,Climacteris picumnus,Brown Treecreeper,"Plate shows Brown Treecreeper (pale brow, streaked breast, buff wing band); Temminck's scandens is a synonym of C. picumnus. KU swapped IV.93/IV.98"
IV,96,ku-error,ku-gould:13946,Black-tailed Treecreeper,Climacteris melanurus,Climacteris picumnus,Brown Treecreeper,Plate shows black back with buff face and breast = Black-backed race of Brown Treecreeper C. p. melanotus (Cape York); Black-tailed Treecreeper is IV.97 (C. melanura)
IV,98,ku-error,ku-gould:13938,Brown Treecreeper,Climacteris picumnus,Cormobates leucophaea,White-throated Treecreeper,"Plate shows White-throated Treecreeper (dark, orange cheek spot of female, white-streaked flanks); Gould misapplied picumnus. KU swapped IV.93/IV.98"
IV,99,same,ku-gould:13934,Australian Logrunner,Orthonyx t emminckii,Orthonyx temminckii,Australian Logrunner,KU's 'Orthonyx t emminckii' is a typo for temminckii
V,15,ku-error,ku-gould:13836,Regent Parrot,Polytelis anthopeplus,Polytelis swainsonii,Superb Parrot,"Plate shows Superb Parrot (green, yellow face, red throat band); barrabandi = P. swainsonii. KU swapped V.15/V.16"
V,16,ku-error,ku-gould:13832,Superb Parrot,Polytelis swainsonii,Polytelis anthopeplus,Regent Parrot,"Plate shows Regent Parrot (yellow body, black tail); melanura = P. anthopeplus. KU swapped V.15/V.16"
V,48,same,ku-gould:13704,Coconut Lorikeet,Trichoglossus haematodus,Trichoglossus moluccanus,Rainbow Lorikeet,Split: Rainbow Lorikeet T. moluccanus split from Coconut Lorikeet T. haematodus; Gould's bird is Australian
V,60,same,ku-gould:13656,Pied Imperial Pigeon,Ducula bicolor,Ducula spilorrhoa,Torresian Imperial-Pigeon,Split: Torresian Imperial-Pigeon D. spilorrhoa split from Pied Imperial-Pigeon D. bicolor; Gould's bird is from Torres Strait
V,62,same,ku-gould:13648,Common Emerald Dove,Chalcophaps indica,Chalcophaps longirostris,Pacific Emerald Dove,Split: Pacific Emerald Dove C. longirostris split from Common/Asian C. indica; Gould's bird is Australian
V,75,same,ku-gould:13596,Brown Cuckoo-Dove,Macropygia amboinensis,Macropygia phasianella,Brown Cuckoo-Dove,Split: Brown Cuckoo-Dove M. phasianella split from Amboyna Cuckoo-Dove M. amboinensis; KU's English already says Brown Cuckoo-Dove
V,90,same,ku-gould:13536,Van diemen's land partridge,Synoicus diemenensis,Synoicus ypsilophorus,Brown Quail,KU gives only Gould's name; the Tasmanian Brown Quail is nominate S. ypsilophorus
VI,2,doubtful,ku-gould:13502,"Brown Kiwi, Haast Tokoeka, Southern Brown Kiwi, Southern Tokoeka",Apteryx australis,Apteryx australis,Southern Brown Kiwi,"KU (A. australis, Southern Brown Kiwi) follows the name, which BirdNET lacks; Gould drew New Zealand Company skins without locality, so North Island (A. mantelli) is not shown. Recommend none"
VI,9,same,ku-gould:13474,Wattled pewit,Lobivanellus lobatus,Vanellus miles,Masked Lapwing,KU gives only Gould's name; Lobivanellus lobatus = Masked Lapwing V. miles novaehollandiae
VI,11,ku-error,ku-gould:13466,Javan Lapwing,Vanellus macropterus,Vanellus tricolor,Banded Lapwing,"Gould: black breast band, Van Diemen's Land/SA/NSW = Banded Lapwing V. tricolor; KU's Javan Lapwing is Asian"
VI,13,same,ku-gould:13458,"American Golden Plover, Lesser Golden-Plover,  Chorlo dominico,  Pluvier bronzé, pluvier doré d'Amérique",Pluvialis dominica,Pluvialis fulva,Pacific Golden-Plover,Split: Pacific Golden-Plover split from American Golden-Plover (P. dominica s.l.); Australian birds are fulva
VI,19,doubtful,ku-gould:13434,Allied dottrel,Hiaticula inornata,Anarhynchus mongolus,Siberian Sand-Plover,"KU gives only Gould's name. Gould: Port Essington/Torres Strait sand-plover, winter and breeding plumage, sexes differing in size by a third, so his series may mix Lesser and Greater. The plate's short bills suggest Lesser, but that is not certain"
VI,31,ku-error,ku-gould:13386,"Sanderling, Bécasseau sanderling, Playero blanco",Calidris alba,Calidris ruficollis,Red-necked Stint,albescens Temminck = Red-necked Stint C. ruficollis (standard synonymy); KU's Sanderling is a different bird
VI,38,ku-error,ku-gould:13358,"Chevalier arlequin, Spotted Redshank",Tringa erythropus,Tringa brevipes,Gray-tailed Tattler,Totanus griseopygius Gould = Grey-tailed Tattler; KU's Spotted Redshank is wrong
VI,46,same,ku-gould:13326,"African Sacred Ibis, Sacred Ibis",Threskiornis aethiopicus,Threskiornis molucca,Australian Ibis,Split: Australian Ibis T. molucca split from African Sacred Ibis T. aethiopicus
VI,58,ku-error,ku-gould:13278,"Western Reef Heron, Aigrette à gorge blanche",Egretta gularis,Egretta garzetta,Little Egret,Herodias immaculata Gould = Australian Little Egret E. garzetta immaculata/nigripes; KU's Western Reef-Heron is African/Asian
VI,61,ku-error,ku-gould:13266,White-faced Heron,Egretta novaehollandiae,Egretta sacra,Pacific Reef-Heron,"Plate: all-white heron with a stout yellow bill on coral reefs; Gould calls it an albino of the dark Reef Heron (jugularis) = white morph Pacific Reef-Heron, not White-faced"
VI,68,same,ku-gould:13238,"Little Bittern, Blongios nain",Ixobrychus minutus,Botaurus dubius,Black-backed Bittern,Split: Black-backed Bittern I. dubius split from Little Bittern I. minutus; Gould's pusilla is the Australian bird
VI,69,same,ku-gould:13234,Purple Swamphen,Porphyrio porphyrio melanotus,Porphyrio melanotus,Australasian Swamphen,Split: Australasian Swamphen P. melanotus split from Purple Swamphen P. porphyrio; Gould's bird is the Australian daughter
VI,70,same,ku-gould:13230,Purple Swamphen,Porphyrio porphyrio,Porphyrio melanotus,Australasian Swamphen,"Split: bellus (SW Australia) is a race of Australasian Swamphen P. melanotus, split from P. porphyrio"
VI,76,ku-error,ku-gould:13206,Lewin's Rail,Lewinia pectoralis,Gallirallus philippensis,Buff-banded Rail,"KU used the modern binomial; Gould's text and plate (chestnut eye-stripe, sandy-buff breast band, barred belly, a 'Land Rail') = Buff-banded Rail; Lewin's Rail is VI.77"
VII,21,doubtful,ku-gould:13080,"Great Skua, Grand Labbe",Stercorarius skua,Stercorarius antarcticus,Brown Skua,"KU follows the name (Great Skua); Gould's text is about Southern Ocean and Tasmanian birds (Brown Skua) and the plate is uniformly dark without Great Skua's pale streaking, but he calls them one species and names no specimen"
VII,23,ku-error,ku-gould:13072,Lesser Crested Tern,Thalasseus bengalensis torresii,Thalasseus bergii,Great Crested Tern,"KU confused Torres' Straits Tern with torresii (VII.25); the plate's large, pale-yellow-billed tern with a white forehead = Great Crested, pelecanoides King"
VII,24,same,ku-gould:13068,Bass's straits' tern,Thalasseus poliocereus,Thalasseus bergii,Great Crested Tern,KU gives only Gould's name; poliocercus = southern Great Crested Tern; the plate has a large yellow bill
VII,31,same,ku-gould:13040,Marsh tern,Hydrochelidon fluviatilis,Chlidonias hybrida,Whiskered Tern,KU gives only Gould's name; Hydrochelidon fluviatilis Gould = Whiskered Tern C. hybrida javanicus
VII,32,ku-error,ku-gould:13036,"Bridled Tern, Charrán embridado, Sterne bridée",Onychoprion anaethetus,Onychoprion fuscatus,Sooty Tern,"Plate: black back, white forehead patch not behind the eye = Sooty Tern; Bridled Tern is VII.33 (O. panaya), which the plate shows with a long white eyebrow"
VII,35,ku-error,ku-gould:13024,"Black Noddy, Charrán-bobo negro, Noddi noir",Anous minutus,Anous tenuirostris,Lesser Noddy,Anous melanops Gould (Houtman Abrolhos) = Lesser Noddy A. tenuirostris melanops; KU's Black Noddy is a different bird
VII,75,same,ku-gould:12864,"Darter, Oriental Darter",Anhinga melanogaster,Anhinga novaehollandiae,Australasian Darter,Split: Australasian Darter A. novaehollandiae split from Oriental Darter A. melanogaster
Supp,25,ku-error,ku-gould:12703,Eastern Bristlebird,Dasyornis brachypterus,Dasyornis broadbenti,Rufous Bristlebird,Sphenura broadbenti McCoy = Rufous Bristlebird; the plate shows the rufous crown and speckled breast; Eastern Bristlebird is D. brachypterus
Supp,29,same,ku-gould:12687,Red-bellied Pitta,Pitta erythrogaster macklotii,Erythropitta macklotii,Papuan Pitta,Split: Papuan Pitta E. macklotii split from Red-bellied Pitta; Australian digglesi sits in macklotii
Supp,37,ku-error,ku-gould:12655,Sunda Cuckooshrike,Coracina larvata,Sphecotheres vieilloti,Australasian Figbird,Sphecotheres flaviventris Gould = yellow-bellied northern Australasian Figbird; KU's Sunda Cuckooshrike is absurd
Supp,39,same,ku-gould:12647,Yellow-tufted Honeyeater,Lichenostomus melanopscassidix,Lichenostomus melanops,Yellow-tufted Honeyeater,"KU's 'melanopscassidix' is melanops cassidix (Helmeted race of Yellow-tufted Honeyeater), run together"
Supp,49,same,ku-gould:12607,Zosterops tephropleurus,Zosterops tephropleurus,Zosterops lateralis,Silvereye,KU gives only Gould's name; tephropleurus = Lord Howe race of Silvereye Z. lateralis
Supp,63,ku-error,ku-gould:12549,Crimson Rosella,Platycercus elegans,Platycercus adscitus,Pale-headed Rosella,"Plate: pale yellow head with blue cheeks, yellowish body = Pale-headed Rosella nominate adscitus (Cape York); not Crimson Rosella"
Supp,79,same,ku-gould:12489,Plain Bush-hen,Amaurornis olivacea,Amaurornis moluccana,Pale-vented Bush-hen,Split: Pale-vented Bush-hen A. moluccana split from Plain Bush-hen A. olivacea; Gould's ruficrissa (Qld) is the Australian bird
